verticalTipPosition,vDeflection
5.962435e-05,-1.2842495e-10
5.962097e-05,-1.471397e-10
5.9619015e-05,-1.3553655e-10
5.961766e-05,-1.1120739e-10
5.961551e-05,-1.0372149e-10
5.9612183e-05,-1.2131335e-10
5.9610105e-05,-1.1233028e-10
5.9607108e-05,-1.2281053e-10
5.960524e-05,-1.09335915e-10
5.960304e-05,-1.029729e-10
5.959996e-05,-1.15324625e-10
5.9597405e-05,-1.1644752e-10
5.9594622e-05,-1.2243624e-10
5.9592843e-05,-1.0709015e-10
5.9590166e-05,-1.1083309e-10
5.9586888e-05,-1.2730207e-10
5.9584796e-05,-1.1869329e-10
5.9581904e-05,-1.2692777e-10
5.957951e-05,-1.24682e-10
5.9577433e-05,-1.1569893e-10
5.9575163e-05,-1.1083309e-10
5.9571725e-05,-1.3067072e-10
5.956977e-05,-1.1906758e-10
5.9567163e-05,-1.2131335e-10
5.9564434e-05,-1.2617919e-10
5.956172e-05,-1.3067072e-10
5.9559767e-05,-1.1906758e-10
5.9557515e-05,-1.13827454e-10
5.9555136e-05,-1.1120739e-10
5.9552054e-05,-1.2355912e-10
5.954955e-05,-1.2355912e-10
5.9546608e-05,-1.329165e-10
5.9545167e-05,-1.104588e-10
5.954187e-05,-1.2730207e-10
5.9539267e-05,-1.2954784e-10
5.95374e-05,-1.1607323e-10
5.9534264e-05,-1.2954784e-10
5.953118e-05,-1.4189958e-10
5.9529684e-05,-1.2056477e-10
5.9527873e-05,-1.0596726e-10
5.9524347e-05,-1.2767637e-10
5.9521724e-05,-1.3029643e-10
5.9520706e-05,-9.885565e-11
5.9517584e-05,-1.1195598e-10
5.9514237e-05,-1.2992213e-10
5.951195e-05,-1.254306e-10
5.9509166e-05,-1.3141932e-10
5.9507354e-05,-1.1682182e-10
5.950503e-05,-1.13078866e-10
5.9501504e-05,-1.3478797e-10
5.9499427e-05,-1.258049e-10
5.949682e-05,-1.2805065e-10
5.9495396e-05,-1.05218674e-10
5.949256e-05,-1.1233028e-10
5.9489583e-05,-1.2243624e-10
5.9486905e-05,-1.2617919e-10
5.9484544e-05,-1.2318482e-10
5.9482325e-05,-1.171961e-10
5.947995e-05,-1.1457604e-10
5.9477006e-05,-1.2393342e-10
5.9474223e-05,-1.2992213e-10
5.947206e-05,-1.2281053e-10
5.947042e-05,-1.0447007e-10
5.9466933e-05,-1.254306e-10
5.9463848e-05,-1.3778233e-10
5.946253e-05,-1.1270457e-10
5.945973e-05,-1.1906758e-10
5.9456488e-05,-1.3478797e-10
5.9454673e-05,-1.2019047e-10
5.9451733e-05,-1.2954784e-10
5.9449972e-05,-1.13827454e-10
5.9447084e-05,-1.2206194e-10
5.9444443e-05,-1.250563e-10
5.944215e-05,-1.2056477e-10
5.9439793e-05,-1.175704e-10
5.9436657e-05,-1.3104502e-10
5.9434613e-05,-1.2131335e-10
5.9432114e-05,-1.2131335e-10
5.9429734e-05,-1.1869329e-10
