verticalTipPosition,vDeflection
5.8249523e-05,-6.1026906e-11
5.8247904e-05,-4.2312157e-11
5.824482e-05,-5.4663888e-11
5.824304e-05,-3.931779e-11
5.8240807e-05,-3.370336e-11
5.8238445e-05,-3.0709008e-11
5.8236314e-05,-2.2848806e-11
5.8233283e-05,-3.407766e-11
5.82305e-05,-4.0066384e-11
5.822867e-05,-2.5843177e-11
5.8226593e-05,-1.6860102e-11
5.822291e-05,-4.1937863e-11
5.8220463e-05,-4.0814963e-11
5.821851e-05,-2.921183e-11
5.8215388e-05,-4.2312157e-11
5.82128e-05,-4.4183636e-11
5.821106e-05,-2.8088941e-11
5.8207712e-05,-4.6055108e-11
5.8206126e-05,-2.6591755e-11
5.8203274e-05,-3.407766e-11
5.820019e-05,-4.642939e-11
5.819806e-05,-3.8569207e-11
5.8195823e-05,-3.295478e-11
5.8192614e-05,-4.7926586e-11
5.8190115e-05,-4.7926586e-11
5.818779e-05,-4.4183636e-11
5.818552e-05,-3.931779e-11
5.8183123e-05,-3.7072033e-11
5.8180074e-05,-4.8675165e-11
5.8178102e-05,-3.7446317e-11
5.817504e-05,-4.9423753e-11
5.817347e-05,-2.9586125e-11
5.8171234e-05,-2.3971707e-11
5.816847e-05,-2.9586125e-11
5.8165246e-05,-4.4932214e-11
5.8163238e-05,-3.4451955e-11
5.8160862e-05,-3.1831888e-11
5.815836e-05,-3.1831888e-11
5.8156158e-05,-2.5468882e-11
5.8152476e-05,-5.0546643e-11
5.8150734e-05,-3.4451955e-11
5.8148216e-05,-3.482626e-11
5.814531e-05,-4.343504e-11
5.8143123e-05,-3.6697728e-11
5.814029e-05,-4.3809335e-11
5.8137946e-05,-4.044068e-11
5.8136415e-05,-1.9854455e-11
5.8133508e-05,-2.8463234e-11
5.8130125e-05,-4.7177987e-11
5.8127785e-05,-4.3809335e-11
5.8125795e-05,-3.295478e-11
5.812331e-05,-3.2580487e-11
5.8120633e-05,-3.6323434e-11
5.8117992e-05,-3.931779e-11
5.8115773e-05,-3.3329076e-11
5.8112953e-05,-4.0066384e-11
5.8110734e-05,-3.407766e-11
5.8107722e-05,-4.4932214e-11
5.8106034e-05,-2.7714655e-11
5.8103742e-05,-2.322311e-11
5.8100413e-05,-4.0814963e-11
5.8097456e-05,-5.0546643e-11
5.809538e-05,-4.156356e-11
5.8093334e-05,-3.1831888e-11
5.809032e-05,-4.268644e-11
5.8088404e-05,-3.0334714e-11
5.808502e-05,-4.904946e-11
5.808331e-05,-3.2206182e-11
5.8080317e-05,-4.268644e-11
5.8078098e-05,-3.6697728e-11
5.80762e-05,-2.3971707e-11
5.8073416e-05,-2.996041e-11
5.8070313e-05,-4.268644e-11
5.8068166e-05,-3.5200554e-11
5.806584e-05,-3.1457604e-11
5.8063375e-05,-3.0709008e-11
5.8060523e-05,-3.8194906e-11
5.8057598e-05,-4.7177987e-11
5.8055783e-05,-3.2580487e-11
5.805353e-05,-2.7340352e-11
5.8050184e-05,-4.530651e-11
5.804846e-05,-2.8837528e-11
5.804562e-05,-3.5949133e-11
5.804284e-05,-4.1937863e-11
5.8040125e-05,-4.642939e-11
5.8037942e-05,-3.969209e-11
5.803581e-05,-3.1831888e-11
5.803257e-05,-4.755228e-11
5.803116e-05,-2.4346001e-11
5.802801e-05,-3.8194906e-11
5.802607e-05,-2.621746e-11
5.8023485e-05,-2.8088941e-11
5.8020225e-05,-4.4183636e-11
5.801774e-05,-4.3809335e-11
5.8016314e-05,-2.0977336e-11
5.8013127e-05,-3.5574838e-11
5.8010202e-05,-4.4557913e-11
5.8007983e-05,-3.8569207e-11
5.80052e-05,-4.4557913e-11
5.8002646e-05,-4.5680813e-11
5.8000656e-05,-3.482626e-11
5.7998455e-05,-2.8463234e-11
5.7994897e-05,-5.0920938e-11
5.7992802e-05,-4.2312157e-11
5.7990987e-05,-2.7714655e-11
5.7988258e-05,-3.2580487e-11
5.798581e-05,-3.1457604e-11
5.7983063e-05,-3.6697728e-11
5.798033e-05,-4.156356e-11
5.7978556e-05,-2.621746e-11
5.797614e-05,-2.4346001e-11
5.7972527e-05,-4.7926586e-11
5.7970592e-05,-3.5949133e-11
5.7968144e-05,-3.482626e-11
5.7965113e-05,-4.6055108e-11
5.7963018e-05,-3.7446317e-11
5.7961257e-05,-2.1725934e-11
5.795719e-05,-5.5038182e-11
5.795527e-05,-4.268644e-11
5.7953315e-05,-3.1083303e-11
5.7950725e-05,-3.295478e-11
5.794789e-05,-4.0066384e-11
5.7945475e-05,-3.8194906e-11
5.7942412e-05,-5.017235e-11
5.7939822e-05,-5.204382e-11
5.7938592e-05,-2.509458e-11
5.793535e-05,-4.0814963e-11
5.793269e-05,-4.4183636e-11
5.7930876e-05,-2.9586125e-11
5.792795e-05,-3.8569207e-11
5.7925998e-05,-2.6966058e-11
5.7923287e-05,-3.1457604e-11
5.792038e-05,-4.0066384e-11
5.7918e-05,-3.7446317e-11
5.7915608e-05,-3.5200554e-11
5.7912806e-05,-4.156356e-11
5.7910427e-05,-3.8943494e-11
5.790761e-05,-4.5680813e-11
5.7905356e-05,-4.044068e-11
5.790287e-05,-4.0066384e-11
5.7899964e-05,-4.8675165e-11
5.78984e-05,-2.8837528e-11
5.789576e-05,-3.1831888e-11
