verticalTipPosition,vDeflection
5.9085065e-05,-1.111563e-10
5.908232e-05,-1.1639642e-10
5.9081314e-05,-8.458135e-11
5.907834e-05,-9.468732e-11
5.9076137e-05,-8.83243e-11
5.90739e-05,-8.270988e-11
5.9070484e-05,-1.0217322e-10
5.906936e-05,-7.2978214e-11
5.9066715e-05,-7.597257e-11
5.9063757e-05,-8.5704235e-11
5.906115e-05,-8.795001e-11
5.9058297e-05,-9.54359e-11
5.90568e-05,-7.41011e-11
5.9054124e-05,-7.7844044e-11
5.9051163e-05,-8.757571e-11
5.9048805e-05,-8.458135e-11
5.904588e-05,-9.3564434e-11
5.9043945e-05,-8.1586994e-11
5.9040965e-05,-9.169296e-11
5.90382e-05,-9.730738e-11
5.9035472e-05,-1.0217322e-10
5.9033395e-05,-9.3190136e-11
5.9031703e-05,-7.597257e-11
5.902788e-05,-1.04044696e-10
5.902603e-05,-9.019578e-11
5.902346e-05,-9.169296e-11
5.9021117e-05,-8.83243e-11
5.9018916e-05,-8.196129e-11
5.901594e-05,-9.206726e-11
5.9013422e-05,-9.244155e-11
5.901106e-05,-8.9447186e-11
5.9008948e-05,-8.1212696e-11
5.9006517e-05,-7.971552e-11
5.900377e-05,-8.4955654e-11
5.9000387e-05,-1.036704e-10
5.8998612e-05,-8.83243e-11
5.8996375e-05,-8.270988e-11
5.899352e-05,-9.019578e-11
5.899042e-05,-1.0292181e-10
5.898838e-05,-9.3190136e-11
5.8986494e-05,-8.008981e-11
5.8983693e-05,-8.6452824e-11
5.8980997e-05,-9.057007e-11
5.8978672e-05,-8.682712e-11
5.8975536e-05,-1.0030174e-10
5.8973426e-05,-9.206726e-11
5.8970905e-05,-9.244155e-11
5.8969163e-05,-7.6346866e-11
5.8965976e-05,-9.094437e-11
5.8963138e-05,-9.805597e-11
5.8960868e-05,-9.3190136e-11
5.8958703e-05,-8.607853e-11
5.8956342e-05,-8.308418e-11
5.8954036e-05,-7.896693e-11
5.8951322e-05,-8.345847e-11
5.89481e-05,-9.880456e-11
5.8945985e-05,-9.057007e-11
5.8943875e-05,-8.233558e-11
5.8941143e-05,-8.720142e-11
5.893859e-05,-8.83243e-11
5.8936035e-05,-8.9447186e-11
5.8933852e-05,-8.270988e-11
5.8931386e-05,-8.196129e-11
5.8928126e-05,-9.805597e-11
5.8925558e-05,-9.955315e-11
5.892353e-05,-8.9447186e-11
5.8921614e-05,-7.7095455e-11
5.8919042e-05,-7.859264e-11
5.8915604e-05,-9.8430264e-11
5.8913105e-05,-9.8430264e-11
5.8910693e-05,-9.655879e-11
5.8909198e-05,-7.522398e-11
5.890659e-05,-7.746975e-11
5.8903348e-05,-9.3190136e-11
5.8900794e-05,-9.431302e-11
5.8898295e-05,-9.431302e-11
5.889604e-05,-8.9072895e-11
5.8893645e-05,-8.682712e-11
5.8890368e-05,-1.0329611e-10
5.8888236e-05,-9.54359e-11
5.888632e-05,-8.308418e-11
5.8883375e-05,-9.244155e-11
5.8881298e-05,-8.345847e-11
5.8878304e-05,-9.393873e-11
5.8876172e-05,-8.607853e-11
5.8873444e-05,-9.094437e-11
5.8870854e-05,-9.2815845e-11
5.8867965e-05,-1.01050335e-10
5.886603e-05,-8.9072895e-11
5.886397e-05,-7.971552e-11
5.8861187e-05,-8.5704235e-11
5.885851e-05,-8.9447186e-11
5.8855443e-05,-1.01424626e-10
5.8853315e-05,-9.3564434e-11
5.885171e-05,-7.447539e-11
5.884856e-05,-8.83243e-11
5.8845864e-05,-9.244155e-11
5.8843223e-05,-9.54359e-11
5.884067e-05,-9.655879e-11
5.8839207e-05,-7.447539e-11
5.8835718e-05,-9.54359e-11
5.8833608e-05,-8.720142e-11
5.8831265e-05,-8.383277e-11
5.8828482e-05,-8.9821484e-11
5.8826245e-05,-8.420706e-11
5.8823443e-05,-9.057007e-11
5.8821402e-05,-8.0838405e-11
5.8817895e-05,-1.0217322e-10
5.8815553e-05,-9.880456e-11
5.881427e-05,-7.2978214e-11
5.881149e-05,-7.896693e-11
5.8807982e-05,-1.0030174e-10
5.880608e-05,-8.757571e-11
5.880358e-05,-8.757571e-11
5.8802103e-05,-6.5866604e-11
5.879856e-05,-8.795001e-11
5.879583e-05,-9.2815845e-11
5.8792906e-05,-1.0179892e-10
5.8791287e-05,-8.308418e-11
5.878898e-05,-7.896693e-11
5.8786336e-05,-8.196129e-11
5.8783447e-05,-9.019578e-11
5.8781246e-05,-8.383277e-11
5.8778463e-05,-8.9821484e-11
5.8776175e-05,-8.5329944e-11
5.8773498e-05,-8.9072895e-11
5.8771122e-05,-8.6452824e-11
5.8768586e-05,-8.720142e-11
5.8766385e-05,-8.0838405e-11
5.876353e-05,-8.83243e-11
5.876087e-05,-9.169296e-11
5.8758316e-05,-9.2815845e-11
5.8756326e-05,-8.196129e-11
5.875335e-05,-9.206726e-11
5.8750637e-05,-9.655879e-11
5.8748454e-05,-8.9821484e-11
5.8745885e-05,-9.131866e-11
5.8743524e-05,-8.83243e-11
5.874113e-05,-8.607853e-11
5.8738453e-05,-8.9821484e-11
5.8735528e-05,-9.880456e-11
5.8733607e-05,-8.6452824e-11
5.8731406e-05,-8.008981e-11
5.872845e-05,-8.9821484e-11
5.8725207e-05,-1.0554187e-10
5.8723817e-05,-8.196129e-11
5.87213e-05,-8.233558e-11
5.8718462e-05,-8.9447186e-11
5.8716156e-05,-8.5329944e-11
5.8713584e-05,-8.682712e-11
5.8711365e-05,-8.0838405e-11
5.8708865e-05,-8.0838405e-11
5.8706188e-05,-8.458135e-11
5.8703317e-05,-9.244155e-11
5.870124e-05,-8.345847e-11
