verticalTipPosition,vDeflection
5.9071626e-05,-8.6713615e-11
5.9069625e-05,-8.058132e-11
5.906726e-05,-7.890887e-11
5.906558e-05,-6.88742e-11
5.906422e-05,-5.4937145e-11
5.906156e-05,-5.688833e-11
5.905842e-05,-6.469308e-11
5.9056078e-05,-6.2741895e-11
5.905474e-05,-4.8526103e-11
5.9052192e-05,-4.9083588e-11
5.904887e-05,-5.911826e-11
5.9045666e-05,-6.775923e-11
5.904319e-05,-6.7480486e-11
5.9041802e-05,-5.3822183e-11
5.904042e-05,-4.0163872e-11
5.9035614e-05,-6.831671e-11
5.9031656e-05,-8.615614e-11
5.903116e-05,-6.162693e-11
5.9030484e-05,-3.932765e-11
5.9026523e-05,-5.7167077e-11
5.9021517e-05,-8.7828585e-11
5.9019265e-05,-8.476243e-11
5.9019316e-05,-5.354344e-11
5.9017773e-05,-4.1836316e-11
5.901411e-05,-5.6052107e-11
5.9010243e-05,-7.277657e-11
5.9007216e-05,-7.9187615e-11
5.9006197e-05,-6.106945e-11
5.90039e-05,-5.856078e-11
5.9000602e-05,-6.831671e-11
5.899728e-05,-7.835139e-11
5.899435e-05,-8.364747e-11
5.8994035e-05,-5.688833e-11
5.8991853e-05,-5.2985956e-11
5.89886e-05,-6.218441e-11
5.898498e-05,-7.584272e-11
5.8982434e-05,-7.6400206e-11
5.8980506e-05,-6.9431676e-11
5.8979072e-05,-5.633085e-11
5.89763e-05,-5.9675744e-11
5.897307e-05,-6.8595456e-11
5.8969727e-05,-7.890887e-11
5.8969206e-05,-5.4658406e-11
5.896716e-05,-4.9083588e-11
5.896382e-05,-5.9397e-11
5.8959813e-05,-7.779391e-11
5.895738e-05,-7.695768e-11
5.895545e-05,-6.998916e-11
5.895352e-05,-6.302063e-11
5.8951315e-05,-5.9397e-11
5.894781e-05,-7.166161e-11
5.8945538e-05,-6.88742e-11
5.8943766e-05,-5.9954486e-11
5.894213e-05,-4.9362323e-11
5.893856e-05,-6.246315e-11
5.893494e-05,-7.612146e-11
5.893226e-05,-7.835139e-11
5.8931102e-05,-6.190567e-11
5.892933e-05,-5.2985956e-11
5.8925576e-05,-6.831671e-11
5.892214e-05,-7.974509e-11
5.8920665e-05,-6.720175e-11
5.8918733e-05,-6.023322e-11
5.89153e-05,-7.166161e-11
5.891323e-05,-6.6365524e-11
5.891075e-05,-6.608678e-11
5.8909e-05,-5.688833e-11
5.8906524e-05,-5.6609592e-11
5.890327e-05,-6.5808047e-11
5.889993e-05,-7.612146e-11
5.88972e-05,-7.890887e-11
5.8895814e-05,-6.525056e-11
5.8893245e-05,-6.608678e-11
5.888956e-05,-8.058132e-11
5.888756e-05,-7.4449016e-11
5.8886995e-05,-5.0756028e-11
5.8884063e-05,-5.6052107e-11
5.8881447e-05,-5.7445812e-11
5.88774e-05,-7.6400206e-11
5.8874804e-05,-7.751517e-11
5.8874288e-05,-5.32647e-11
5.887149e-05,-5.688833e-11
5.8866914e-05,-8.225376e-11
5.886412e-05,-8.5877395e-11
5.8863236e-05,-6.608678e-11
5.8860893e-05,-6.41356e-11
5.8858554e-05,-6.218441e-11
5.8854526e-05,-8.0860055e-11
5.885189e-05,-8.25325e-11
5.8849797e-05,-7.751517e-11
5.884855e-05,-6.218441e-11
5.884564e-05,-6.720175e-11
5.8842477e-05,-7.5285236e-11
5.8840225e-05,-7.2219085e-11
5.8837977e-05,-6.915293e-11
5.883486e-05,-7.667894e-11
5.8832793e-05,-7.1382865e-11
5.8830472e-05,-6.915293e-11
5.8828085e-05,-6.775923e-11
5.88262e-05,-6.023322e-11
5.8822832e-05,-7.082538e-11
5.8820355e-05,-7.054664e-11
5.881847e-05,-6.302063e-11
5.8816448e-05,-5.7167077e-11
5.8812762e-05,-7.166161e-11
5.880919e-05,-8.476243e-11
5.880669e-05,-8.476243e-11
5.8805348e-05,-7.054664e-11
5.8803394e-05,-6.385686e-11
5.8800142e-05,-7.305531e-11
5.8796937e-05,-8.169628e-11
5.8796577e-05,-5.5494626e-11
5.879394e-05,-5.7167077e-11
5.8789457e-05,-8.141754e-11
5.8787136e-05,-7.9187615e-11
5.878573e-05,-6.5808047e-11
5.8783775e-05,-5.911826e-11
5.8781254e-05,-5.9397e-11
5.8778136e-05,-6.692301e-11
5.8775226e-05,-7.194034e-11
5.8773203e-05,-6.608678e-11
5.8770678e-05,-6.6365524e-11
5.8768997e-05,-5.633085e-11
5.8765792e-05,-6.497182e-11
5.876224e-05,-7.779391e-11
5.8759968e-05,-7.5006494e-11
5.875804e-05,-6.803797e-11
5.8757407e-05,-4.5181213e-11
5.8753445e-05,-6.302063e-11
5.874951e-05,-8.058132e-11
5.8747763e-05,-7.1382865e-11
5.8745532e-05,-6.803797e-11
5.8743786e-05,-5.883952e-11
5.8740625e-05,-6.692301e-11
5.8737325e-05,-7.667894e-11
5.873496e-05,-7.5006494e-11
5.8734102e-05,-5.4937145e-11
5.873153e-05,-5.577337e-11
5.8727026e-05,-8.030258e-11
5.872423e-05,-8.3926206e-11
5.8723028e-05,-6.803797e-11
5.8720958e-05,-6.2741895e-11
5.8718502e-05,-6.218441e-11
5.8714384e-05,-8.1975024e-11
5.871209e-05,-7.946635e-11
5.8711114e-05,-6.0790706e-11
5.870923e-05,-5.32647e-11
5.870447e-05,-8.0860055e-11
5.8702335e-05,-7.6400206e-11
5.8701247e-05,-5.911826e-11
5.869893e-05,-5.688833e-11
5.869538e-05,-6.971042e-11
5.8693175e-05,-6.608678e-11
5.8690424e-05,-6.915293e-11
5.8687696e-05,-7.194034e-11
5.8685717e-05,-6.5529304e-11
5.8684287e-05,-5.2428475e-11
5.86801e-05,-7.305531e-11
5.8677077e-05,-7.946635e-11
5.867631e-05,-5.828204e-11
5.867456e-05,-4.9083588e-11
5.8670303e-05,-7.054664e-11
5.8667392e-05,-7.556398e-11
5.8665664e-05,-6.608678e-11
5.866533e-05,-3.960639e-11
5.866194e-05,-5.0477292e-11
5.8657228e-05,-7.751517e-11
5.8654547e-05,-7.974509e-11
5.8653935e-05,-5.6609592e-11
5.86518e-05,-5.2149732e-11
5.864775e-05,-7.110412e-11
5.8644793e-05,-7.667894e-11
5.864325e-05,-6.497182e-11
5.864084e-05,-6.385686e-11
5.863697e-05,-8.058132e-11
5.8635746e-05,-6.497182e-11
5.8632722e-05,-7.1382865e-11
5.8630038e-05,-7.361279e-11
5.8628564e-05,-6.106945e-11
5.862613e-05,-6.023322e-11
5.8623744e-05,-5.883952e-11
5.8619695e-05,-7.779391e-11
5.86174e-05,-7.5285236e-11
5.861599e-05,-6.190567e-11
5.8613856e-05,-5.7445812e-11
5.8611968e-05,-4.9919808e-11
5.8608646e-05,-5.9954486e-11
5.8604644e-05,-7.835139e-11
5.8602323e-05,-7.612146e-11
5.8601396e-05,-5.688833e-11
5.859933e-05,-5.159225e-11
5.8595186e-05,-7.166161e-11
5.8592184e-05,-7.779391e-11
5.8590664e-05,-6.5808047e-11
5.8589758e-05,-4.6296172e-11
5.8586756e-05,-5.2428475e-11
5.8582864e-05,-6.9431676e-11
5.857968e-05,-7.779391e-11
5.8578386e-05,-6.302063e-11
5.8577025e-05,-4.9083588e-11
5.8573976e-05,-5.577337e-11
5.8569633e-05,-7.835139e-11
5.856722e-05,-7.7236426e-11
5.8566406e-05,-5.6609592e-11
