verticalTipPosition,vDeflection
5.902629e-05,-8.7281696e-11
5.9024722e-05,-7.585332e-11
5.902186e-05,-8.031317e-11
5.9019538e-05,-7.808325e-11
5.901736e-05,-7.418088e-11
5.9016405e-05,-5.522648e-11
5.9013266e-05,-6.303123e-11
5.900983e-05,-7.445961e-11
5.900774e-05,-6.944228e-11
5.900606e-05,-5.94076e-11
5.90039e-05,-5.522648e-11
5.9001126e-05,-5.857138e-11
5.899712e-05,-7.696828e-11
5.8995396e-05,-6.749108e-11
5.8994105e-05,-5.2717816e-11
5.8991056e-05,-5.94076e-11
5.8987916e-05,-6.7212354e-11
5.8984915e-05,-7.334465e-11
5.8982005e-05,-7.836199e-11
5.8979866e-05,-7.3902134e-11
5.89796e-05,-4.6585517e-11
5.897596e-05,-6.052256e-11
5.8971862e-05,-8.0034444e-11
5.8968588e-05,-8.951163e-11
5.8968046e-05,-6.55399e-11
5.896705e-05,-4.7142998e-11
5.896366e-05,-5.8013882e-11
5.8960544e-05,-6.55399e-11
5.8957175e-05,-7.613206e-11
5.895472e-05,-7.5574574e-11
5.8952905e-05,-6.7212354e-11
5.8950995e-05,-5.996508e-11
5.8948335e-05,-6.1916264e-11
5.8945265e-05,-6.8884794e-11
5.8942514e-05,-7.195095e-11
5.8940444e-05,-6.665486e-11
5.8938447e-05,-6.052256e-11
5.893583e-05,-6.1916264e-11
5.8932124e-05,-7.668955e-11
5.892951e-05,-7.808325e-11
5.8929105e-05,-5.2439077e-11
5.8927126e-05,-4.6028036e-11
5.89236e-05,-5.857138e-11
5.892021e-05,-6.944228e-11
5.891737e-05,-7.362339e-11
5.891546e-05,-6.6376134e-11
5.891353e-05,-5.94076e-11
5.8910573e-05,-6.498243e-11
5.8906226e-05,-8.756044e-11
5.890548e-05,-6.609738e-11
5.8903253e-05,-6.2752484e-11
5.8900387e-05,-6.7212354e-11
5.8897887e-05,-6.7212354e-11
5.8895e-05,-7.195095e-11
5.889293e-05,-6.665486e-11
5.8891135e-05,-5.8013882e-11
5.8888498e-05,-5.968634e-11
5.8884358e-05,-7.9755695e-11
5.8881877e-05,-7.947695e-11
5.8881178e-05,-5.7456415e-11
5.887831e-05,-6.1916264e-11
5.8875332e-05,-6.776983e-11
