verticalTipPosition,vDeflection
5.901541e-05,-8.034941e-11
5.901236e-05,-8.7039195e-11
5.9011614e-05,-6.5576135e-11
5.9009362e-05,-6.250998e-11
5.9006863e-05,-6.250998e-11
5.9004247e-05,-6.390369e-11
5.9002658e-05,-5.275405e-11
5.900034e-05,-5.0524123e-11
5.899688e-05,-6.223125e-11
5.8993857e-05,-6.8642286e-11
5.8991835e-05,-6.2788726e-11
5.8989743e-05,-5.777139e-11
5.8988655e-05,-4.0489445e-11
5.89844e-05,-6.1952506e-11
5.898019e-05,-8.2858075e-11
5.897867e-05,-7.087221e-11
5.8976715e-05,-6.418243e-11
5.8974805e-05,-5.6935165e-11
5.897226e-05,-5.7492646e-11
5.8968755e-05,-6.975725e-11
5.8966394e-05,-6.808481e-11
5.896412e-05,-6.529739e-11
5.896171e-05,-6.418243e-11
5.8959162e-05,-6.4739915e-11
5.8955637e-05,-7.7283256e-11
5.895455e-05,-6.0001316e-11
5.8951773e-05,-6.334621e-11
5.894882e-05,-6.892103e-11
5.8947022e-05,-6.028006e-11
5.8944137e-05,-6.501866e-11
5.8941703e-05,-6.418243e-11
5.8939044e-05,-6.613362e-11
5.8936246e-05,-6.975725e-11
5.8934907e-05,-5.554146e-11
5.893227e-05,-5.7213907e-11
5.8928832e-05,-6.8642286e-11
5.89259e-05,-7.393836e-11
5.8924037e-05,-6.613362e-11
5.8922746e-05,-5.1360347e-11
5.8919606e-05,-5.9165096e-11
5.891674e-05,-6.362495e-11
5.891351e-05,-7.254466e-11
5.891135e-05,-6.8363544e-11
5.8909987e-05,-5.4426498e-11
5.8907306e-05,-5.6656423e-11
5.8903803e-05,-6.892103e-11
5.8900434e-05,-7.951319e-11
5.8899346e-05,-6.223125e-11
5.8897233e-05,-5.7492646e-11
5.889391e-05,-6.7527324e-11
5.8890364e-05,-8.034941e-11
5.8889163e-05,-6.446117e-11
5.8887003e-05,-6.028006e-11
5.888516e-05,-5.219657e-11
5.8881524e-05,-6.613362e-11
5.8877973e-05,-7.89557e-11
5.887727e-05,-5.6935165e-11
5.8875456e-05,-4.8572934e-11
5.8871497e-05,-6.641236e-11
5.88684e-05,-7.365963e-11
5.8866404e-05,-6.7527324e-11
5.886502e-05,-5.3869013e-11
5.8862268e-05,-5.6935165e-11
5.8859427e-05,-6.111628e-11
5.8856902e-05,-6.139502e-11
5.8853875e-05,-6.7806066e-11
5.885174e-05,-6.334621e-11
5.8849924e-05,-5.498398e-11
5.8846716e-05,-6.362495e-11
5.88441e-05,-6.501866e-11
5.8841735e-05,-6.334621e-11
5.8838392e-05,-7.365963e-11
5.8836737e-05,-6.334621e-11
5.8835398e-05,-4.913042e-11
5.8832098e-05,-5.8886354e-11
5.8827638e-05,-8.2858075e-11
5.8825706e-05,-7.588955e-11
5.882489e-05,-5.5262718e-11
5.8822527e-05,-5.3590275e-11
5.8819456e-05,-6.05588e-11
5.881552e-05,-7.811948e-11
5.8814843e-05,-5.5820203e-11
5.881305e-05,-4.717923e-11
5.8810023e-05,-5.3590275e-11
5.8805974e-05,-7.254466e-11
5.8802765e-05,-8.1185635e-11
5.880188e-05,-6.139502e-11
5.8800975e-05,-4.1883153e-11
5.8796697e-05,-6.362495e-11
5.8792786e-05,-8.090689e-11
5.8789967e-05,-8.480927e-11
5.878965e-05,-5.805013e-11
5.8788108e-05,-4.634301e-11
5.878401e-05,-6.585488e-11
5.8780257e-05,-8.1185635e-11
5.87791e-05,-6.4739915e-11
5.8778787e-05,-3.7980778e-11
5.8774967e-05,-5.4147756e-11
5.877085e-05,-7.393836e-11
5.876755e-05,-8.36943e-11
5.8766804e-05,-6.223125e-11
5.8766214e-05,-3.8817e-11
5.8762736e-05,-5.0802862e-11
5.8758276e-05,-7.477459e-11
5.875557e-05,-7.7283256e-11
5.875539e-05,-4.8851676e-11
5.8753118e-05,-4.6064267e-11
5.8748818e-05,-6.808481e-11
5.8745336e-05,-8.007067e-11
5.874318e-05,-7.588955e-11
5.8741476e-05,-6.613362e-11
5.8740865e-05,-4.2998115e-11
5.8736656e-05,-6.390369e-11
5.8732287e-05,-8.676045e-11
5.873138e-05,-6.724858e-11
5.873068e-05,-4.5228044e-11
5.8727655e-05,-5.1639085e-11
5.8722875e-05,-7.951319e-11
5.8720558e-05,-7.7283256e-11
5.8719674e-05,-5.7492646e-11
5.8717244e-05,-5.6656423e-11
5.8714308e-05,-6.1952506e-11
5.8711852e-05,-6.139502e-11
5.8707963e-05,-7.839822e-11
5.8706555e-05,-6.501866e-11
5.870442e-05,-6.05588e-11
5.8702124e-05,-5.805013e-11
5.869976e-05,-5.6377684e-11
5.869671e-05,-6.306747e-11
5.869348e-05,-7.198718e-11
5.8692098e-05,-5.832887e-11
5.8690348e-05,-4.913042e-11
5.868714e-05,-5.777139e-11
5.8683978e-05,-6.585488e-11
5.868148e-05,-6.585488e-11
5.8679365e-05,-6.111628e-11
5.8677913e-05,-4.8294195e-11
5.8674705e-05,-5.6935165e-11
5.867095e-05,-7.226592e-11
5.8668677e-05,-6.947851e-11
5.8667454e-05,-5.3869013e-11
5.86647e-05,-5.6935165e-11
5.8660742e-05,-7.477459e-11
5.865847e-05,-7.198718e-11
5.8656606e-05,-6.418243e-11
5.865445e-05,-6.0001316e-11
5.8652084e-05,-5.832887e-11
5.864931e-05,-6.167376e-11
5.8646103e-05,-7.031473e-11
5.8644036e-05,-6.501866e-11
5.864158e-05,-6.446117e-11
5.8638714e-05,-6.892103e-11
5.8636306e-05,-6.7806066e-11
5.8634327e-05,-6.139502e-11
5.8632442e-05,-5.3869013e-11
5.8628186e-05,-7.5332074e-11
5.862589e-05,-7.28234e-11
5.8625053e-05,-5.247531e-11
5.8622372e-05,-5.4705237e-11
5.8618298e-05,-7.393836e-11
